なし,40,39,38,37,36,35,34,33,32,31,30
7,7,7,7,7,7,7,7,7,7,7,7
4,4,4,4,4,4,4,4,4,4,4,4
11,11,11,11,11,11,11,11,11,11,11,11
6,6,6,6,6,6,6,6,6,6,6,6
4,4,4,4,4,4,4,4,4,4,4,4
6,6,6,6,6,6,6,6,6,6,6,6
10,10,10,10,10,10,10,10,10,10,10,10
39,39,39,39,39,29,25,20,18,16,13,11
29,29,29,29,29,9,13,17,19,20,18,17
55,55,55,23,23,29,27,22,20,19,6,9
29,29,29,31,31,23,25,5,7,11,18,16
15,15,15,29,29,26,24,22,23,19,9,11
4,4,4,15,15,33,5,24,20,20,19,16
10,10,10,4,4,15,26,5,9,14,17,15
10,10,10,10,10,4,4,21,22,20,16,15
4,4,4,10,10,10,11,4,4,8,18,10
7,7,7,4,4,10,4,13,13,15,10,16
7,7,7,7,7,4,10,4,4,4,15,4
14,14,14,7,7,7,10,10,10,10,4,14
4,4,4,14,14,7,4,10,10,10,10,4
4,4,4,4,4,14,7,4,4,4,10,10
19,19,19,4,4,4,7,7,7,7,4,10
4,4,4,19,19,4,14,7,7,7,7,4
5,5,5,4,4,19,4,14,14,14,7,7
4,4,4,5,5,4,4,4,4,4,14,7
4,4,4,4,4,5,13,4,4,4,4,14
22,22,22,4,4,4,5,13,13,13,4,4
23,23,23,22,22,4,4,5,5,5,13,4
7,7,7,23,23,22,5,4,4,4,5,13
6,6,6,7,7,23,4,5,5,5,4,5
12,12,12,6,6,7,4,4,4,4,5,4
4,4,4,12,12,6,14,4,4,4,4,5
4,4,4,4,4,12,6,14,14,14,4,4
6,6,6,4,4,4,23,6,6,6,14,4
4,4,4,6,6,4,7,23,21,19,6,14
4,4,4,4,4,6,6,7,9,5,17,6
5,5,5,4,4,4,12,6,6,6,6,17
8,8,8,5,5,4,4,12,12,6,7,6
4,4,4,8,8,5,4,4,4,12,6,7
4,4,4,4,4,8,6,4,4,4,12,6
4,4,4,4,4,4,4,6,6,4,4,12
4,4,4,4,4,4,4,4,4,6,4,4
4,4,4,4,4,4,5,4,4,4,6,4
6,6,6,4,4,4,8,5,5,4,4,6
4,4,4,6,6,4,4,8,8,5,4,4
4,4,4,4,4,6,4,4,4,8,5,4
4,4,4,4,4,4,4,4,4,4,8,5
4,4,4,4,4,4,4,4,4,4,4,8
11,11,11,4,4,4,4,4,4,4,4,4
4,4,4,11,11,4,6,4,4,4,4,4
4,4,4,4,4,11,4,6,6,4,4,4
4,4,4,4,4,4,4,4,4,6,4,4
4,4,4,4,4,4,4,4,4,4,6,4
4,4,4,4,4,4,4,4,4,4,4,6
6,6,6,4,4,4,11,4,4,4,4,4
4,4,4,6,6,4,4,11,11,4,4,4
13,13,13,4,4,6,4,4,4,11,4,4
5,5,5,13,13,4,4,4,4,4,11,4
4,4,4,5,5,13,4,4,4,4,4,11
4,4,4,4,4,5,4,4,4,4,4,4
6,6,6,4,4,4,6,4,4,4,4,4
9,9,9,6,6,4,4,6,6,4,4,4
5,5,5,9,9,6,13,4,4,6,4,4
5,5,5,5,5,9,5,13,13,4,6,4
4,4,4,5,5,5,4,5,5,13,4,6
4,4,4,4,4,5,4,4,4,5,13,4
4,4,4,4,4,4,6,4,4,4,5,13
4,4,4,4,4,4,9,6,6,4,4,5
7,7,7,4,4,4,5,9,9,6,4,4
4,4,4,7,7,4,5,5,5,9,6,4
4,4,4,4,4,7,4,5,5,5,9,6
4,4,4,4,4,4,4,4,4,6,5,9
4,4,4,4,4,4,4,4,4,4,5,4
11,11,11,4,4,4,4,4,4,4,4,4
6,6,6,4,4,4,7,4,4,4,4,4
4,4,4,5,5,4,4,7,7,4,4,4
7,7,7,6,6,5,4,4,4,7,10,10
4,4,4,4,4,6,4,4,4,4,4,4
4,4,4,7,7,4,4,4,4,4,4,4
5,5,5,4,4,7,4,4,4,4,4,4
4,4,4,4,4,4,5,4,4,4,4,4
7,7,7,5,5,4,6,5,5,10,10,10
4,4,4,4,4,5,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4
