,00,10,20,30,40,50
0,16.0,17.0,40.0,0.0,0.0,0.0
1,853.0,27.0,323.0,129.0,0.0,2.0
2,138.0,543.0,2123.0,1504.0,47.0,29.0
3,118.0,108.0,416.0,4717.0,2457.0,70.0
4,3.0,287.0,359.0,5002.0,3697.0,9.0
5,0.0,182.0,322.0,1306.0,953.0,432.0
